* Saluki
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  730A  *     730A  Departed:  On time.
* DQN  *  *     1  751A  *     753A  Departed:  2 minutes late.
* CEN  *  *     1  823A  *     827A  Departed:  4 minutes late.
* EFG  *  *     1  907A  *     919A  Departed:  12 minutes late.
* MAT  *  *     1  931A  *     948A  Departed:  17 minutes late.
* CHM  *  *     1  1014A *     1035A Departed:  21 minutes late.
* RTL  *  *     1  1027A *     1050A Departed:  23 minutes late.
* GLM  *  *     1  1053A *     1133A Departed:  40 minutes late.
* KKI  *  *     1  1115A *     1202P Departed:  47 minutes late.
* HMW  *  *     1  1144A *     1238P Departed:  54 minutes late.
* CHI  1  100P  *  *     131P  *     Arrived:  31 minutes late.
