* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* SAN  *  *     1  247P  *     247P  Departed:  On time.
* OLT  *  *     1  254P  *     255P  Departed:  1 minute late.
* SOL  *  *     1  328P  *     333P  Departed:  5 minutes late.
* OSD  *  *     1  345P  *     352P  Departed:  7 minutes late.
* SNP  *  *     1  407P  *     416P  Departed:  9 minutes late.
* SNC  *  *     1  422P  *     430P  Departed:  8 minutes late.
* IRV  *  *     1  438P  *     448P  Departed:  10 minutes late.
* SNA  *  *     1  451P  *     500P  Departed:  9 minutes late.
* ANA  *  *     1  501P  *     510P  Departed:  9 minutes late.
* FUL  *  *     1  510P  *     521P  Departed:  11 minutes late.
* LAX  1  546P  *  *     559P  *     Arrived:  13 minutes late.
