* Missouri River Runner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* KCY  *  *     1  400P  *     403P  Departed:  3 minutes late.
* IDP  *  *     1  419P  *     427P  Departed:  8 minutes late.
* LEE  *  *     1  436P  *     443P  Departed:  7 minutes late.
* WAR  *  *     1  519P  *     526P  Departed:  7 minutes late.
* SED  *  *     1  549P  *     557P  Departed:  8 minutes late.
* JEF  *  *     1  703P  *     716P  Departed:  13 minutes late.
* HEM  *  *     1  748P  *     802P  Departed:  14 minutes late.
* WAH  *  *     1  816P  *     831P  Departed:  15 minutes late.
* KWD  *  *     1  858P  *     915P  Departed:  17 minutes late.
* STL  1  940P  *  *     940P  *     Arrived:  On time.
