* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     730A  Departed:  3 minutes late.
* CRV  *  *     1  755A  *     800A  Departed:  5 minutes late.
* SPI  *  *     1  837A  *     843A  Departed:  6 minutes late.
* LCN  *  *     1  905A  *     913A  Departed:  8 minutes late.
* BNL  *  *     1  946A  *     1012A Departed:  26 minutes late.
* PON  *  *     1  1014A *     1041A Departed:  27 minutes late.
* DWT  *  *     1  1032A *     1101A Departed:  29 minutes late.
* JOL  *  *     1  1119A *     1142A Departed:  23 minutes late.
* SMT  *  *     1  1144A *     1208P Departed:  24 minutes late.
* CHI  1  1220P *  *     1231P *     Arrived:  11 minutes late.
