* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     730A  Departed:  3 minutes late.
* CRV  *  *     1  755A  *     804A  Departed:  9 minutes late.
* SPI  *  *     1  837A  *     856A  Departed:  19 minutes late.
* LCN  *  *     1  905A  *     925A  Departed:  20 minutes late.
* BNL  *  *     1  946A  *     1016A Departed:  30 minutes late.
* PON  *  *     1  1014A *     1044A Departed:  30 minutes late.
* DWT  *  *     1  1032A *     1101A Departed:  29 minutes late.
* JOL  *  *     1  1119A *     1135A Departed:  16 minutes late.
* SMT  *  *     1  1144A *     1215P Departed:  31 minutes late.
* CHI  1  1220P *  *     1239P *     Arrived:  19 minutes late.
