* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     732A  Departed:  5 minutes late.
* CRV  *  *     1  755A  *     804A  Departed:  9 minutes late.
* SPI  *  *     1  837A  *     900A  Departed:  23 minutes late.
* LCN  *  *     1  905A  *     937A  Departed:  32 minutes late.
* BNL  *  *     1  946A  *     1014A Departed:  28 minutes late.
* PON  *  *     1  1014A *     1045A Departed:  31 minutes late.
* DWT  *  *     1  1032A *     1102A Departed:  30 minutes late.
* JOL  *  *     1  1119A *     1136A Departed:  17 minutes late.
* SMT  *  *     1  1144A *     1204P Departed:  20 minutes late.
* CHI  1  1220P *  *     1233P *     Arrived:  13 minutes late.
