* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     730A  Departed:  3 minutes late.
* CRV  *  *     1  755A  *     759A  Departed:  4 minutes late.
* SPI  *  *     1  837A  *     904A  Departed:  27 minutes late.
* LCN  *  *     1  905A  *     944A  Departed:  39 minutes late.
* BNL  *  *     1  946A  *     1020A Departed:  34 minutes late.
* PON  *  *     1  1014A *     1051A Departed:  37 minutes late.
* DWT  *  *     1  1032A *     1108A Departed:  36 minutes late.
* JOL  *  *     1  1119A *     1142A Departed:  23 minutes late.
* SMT  *  *     1  1144A *     1206P Departed:  22 minutes late.
* CHI  1  1220P *  *     1230P *     Arrived:  10 minutes late.
