* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     732A  Departed:  5 minutes late.
* CRV  *  *     1  755A  *     801A  Departed:  6 minutes late.
* SPI  *  *     1  837A  *     844A  Departed:  7 minutes late.
* LCN  *  *     1  905A  *     937A  Departed:  32 minutes late.
* BNL  *  *     1  946A  *     1021A Departed:  35 minutes late.
* PON  *  *     1  1014A *     1049A Departed:  35 minutes late.
* DWT  *  *     1  1032A *     1112A Departed:  40 minutes late.
* JOL  *  *     1  1119A *     1146A Departed:  27 minutes late.
* SMT  *  *     1  1144A *     1210P Departed:  26 minutes late.
* CHI  1  1220P *  *     1239P *     Arrived:  19 minutes late.
