* Saluki
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* CDL  *  *     1  730A  *     730A  Departed:  On time.
* DQN  *  *     1  751A  *     752A  Departed:  1 minute late.
* CEN  *  *     1  823A  *     828A  Departed:  5 minutes late.
* EFG  *  *     1  907A  *     921A  Departed:  14 minutes late.
* MAT  *  *     1  931A  *     949A  Departed:  18 minutes late.
* CHM  *  *     1  1014A *     1030A Departed:  16 minutes late.
* RTL  *  *     1  1027A *     1057A Departed:  30 minutes late.
* GLM  *  *     1  1053A *     1126A Departed:  33 minutes late.
* KKI  *  *     1  1115A *     1205P Departed:  50 minutes late.
* HMW  *  *     1  1144A *     1234P Departed:  50 minutes late.
* CHI  1  100P  *  *     120P  *     Arrived:  20 minutes late.
