* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  640A  *     640A  Departed:  On time.
* ALN  *  *     1  727A  *     749A  Departed:  22 minutes late.
* CRV  *  *     1  755A  *     817A  Departed:  22 minutes late.
* SPI  *  *     1  837A  *     900A  Departed:  23 minutes late.
* LCN  *  *     1  905A  *     929A  Departed:  24 minutes late.
* BNL  *  *     1  946A  *     1010A Departed:  24 minutes late.
* PON  *  *     1  1014A *     1040A Departed:  26 minutes late.
* DWT  *  *     1  1032A *     1108A Departed:  36 minutes late.
* JOL  *  *     1  1119A *     1144A Departed:  25 minutes late.
* SMT  *  *     1  1144A *     1210P Departed:  26 minutes late.
* CHI  1  1220P *  *     1237P *     Arrived:  17 minutes late.
