* Pacific Surfliner
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* LAX  *  *     1  605A  *     605A  Departed:  On time.
* FUL  *  *     1  636A  *     646A  Departed:  10 minutes late.
* ANA  *  *     1  645A  *     653A  Departed:  8 minutes late.
* SNA  *  *     1  655A  *     701A  Departed:  6 minutes late.
* IRV  *  *     1  708A  *     712A  Departed:  4 minutes late.
* SNC  *  *     1  723A  *     724A  Departed:  1 minute late.
* OSD  *  *     1  802A  *     805A  Departed:  3 minutes late.
* SOL  *  *     1  818A  *     821A  Departed:  3 minutes late.
* OLT  *  *     1  850A  *     850A  Departed:  On time.
* SAN  1  858A  *  *     856A  *     Arrived:  2 minutes early.
