* Lincoln Service
* +---------------- Station Code
* |    +----------- Schedule Arrival Day  
* |    |  +-------- Schedule Arrival Time
* |    |  |     +----- Schedule Departure Day
* |    |  |     |  +-- Schedule Departure Time 
* |    |  |     |  |     +------------- Actual Arrival Time
* |    |  |     |  |     |     +------- Actual Departure Time
* |    |  |     |  |     |     |     +- Comments
* V    V  V     V  V     V     V     V
* STL  *  *     1  300P  *     300P  Departed:  On time.
* ALN  *  *     1  347P  *     400P  Departed:  13 minutes late.
* CRV  *  *     1  414P  *     432P  Departed:  18 minutes late.
* SPI  *  *     1  456P  *     510P  Departed:  14 minutes late.
* LCN  *  *     1  524P  *     545P  Departed:  21 minutes late.
* BNL  *  *     1  556P  *     623P  Departed:  27 minutes late.
* PON  *  *     1  623P  *     651P  Departed:  28 minutes late.
* DWT  *  *     1  641P  *     723P  Departed:  42 minutes late.
* JOL  *  *     1  726P  *     804P  Departed:  38 minutes late.
* SMT  *  *     1  751P  *     835P  Departed:  44 minutes late.
* CHI  1  840P  *  *     929P  *     Arrived:  49 minutes late.
